,manufacturer,main_type,built_year,first_registration_date,has_all_wheel_drive,horsepower,handover_key_count,length,width,height,mileage,kw,predict,evaluation_datetime,fuel,gear,ac,gps,color
0,Audi,1er,  2006_year ,8/14/2006,,108,2,3594,2039,1501,306389,80,,6/29/2018 16:22,Benzin,Manual,Manual,,red
1,BMW,206,  2009_year ,6/24/2009,,59,2,3736,2159,1462,183210,43,,6/1/2018 13:30,Benzin,Manual,Manual,,black
2,Audi,1er,  2002_year ,12/27/2002,,168,2,3452,2333,1486,203049,124,,5/26/2018 15:14,Benzin,Manual,Auto,,brown
3,Citroen,207,  2003_year ,2/7/2003,,218,2,3495,2150,1445,344348,161,,6/23/2018 16:48,Diesel,Auto_or_Hybrid,Auto,Big,silver
4,Dacia,307,  2004_year ,2/25/2005,,69,2,3586,2163,1451,242488,51,,9/2/2018 15:13,Benzin,Manual,Manual,,brown
5,BMW,3er,  2003_year ,9/15/2003,,89,2,3724,2282,1485,280092,66,,8/18/2018 14:25,Diesel,Manual,Auto,,red
6,BMW,5,  2005_year ,7/27/2005,,108,2,3568,2384,1652,235328,79,,7/6/2018 15:36,Diesel,Manual,Auto,Big,brown
7,Citroen,207,  2005_year ,3/31/2006,,262,2,3596,1984,1468,239409,194,,9/9/2018 11:45,Diesel,Auto_or_Hybrid,Auto,Big,red
8,Dacia,307,  2002_year ,2/6/2003,,72,1,3597,2191,1451,135467,53,,8/27/2018 17:49,Benzin,Manual,Manual,,brown
9,Citroen,500,  2006_year ,4/26/2006,,113,2,3840,2020,1420,172563,83,,6/17/2018 14:24,Benzin,Manual,Auto,,brown
10,Fiat,5er,  2007_year ,6/15/2007,,133,1,3753,2285,1603,211896,98,,6/12/2018 12:19,Diesel,Auto_or_Hybrid,Manual,,red
11,Audi,1er,  2014_year ,6/30/2014,,115,1,3915,1972,1484,63096,85,,8/9/2018 10:45,Diesel,Manual,Auto,,red
12,Citroen,207,  2004_year ,11/23/2004,,173,2,3607,2177,1491,83906,127,,4/22/2018 15:21,Benzin,Auto_or_Hybrid,Auto,,red
13,Ford,6,  2008_year ,2/26/2009,,131,1,3461,2122,1480,250866,97,,7/27/2018 10:32,Benzin,Manual,Manual,,white
14,BMW,5,  2007_year ,2/1/2007,,161,2,3651,2078,1635,388932,118,,6/14/2018 17:53,Diesel,Manual,Manual,Big,red
15,Honda,911,  2008_year ,2/19/2008,,108,2,3747,2391,1397,57372,79,,10/1/2018 14:13,Diesel,Manual,,,brown
16,Hyundai,A-Klasse,  2003_year ,12/17/2003,,156,3,3522,2004,1525,194577,115,,7/23/2018 16:54,Benzin,Auto_or_Hybrid,Auto,Big,beige
17,Citroen,500,  2012_year ,1/22/2013,,139,2,3904,1966,1429,60040,102,,6/28/2018 11:45,Diesel,Manual,Auto,Big,purple
18,Honda,A3,  2004_year ,12/27/2004,,97,2,3690,2012,1373,113301,71,,5/13/2018 16:28,Benzin,Manual,Auto,,silver
19,Kia,A4,  2006_year ,5/22/2006,,156,2,3479,2185,1411,147659,115,,10/17/2018 14:50,Benzin,Manual,Auto,Big,red
20,Land Rover,A5,  2009_year ,2/5/2009,,139,1,3661,2153,1436,280742,102,,7/16/2018 13:43,Diesel,Auto_or_Hybrid,Auto,Big,red
21,Kia,A6,  2006_year ,6/14/2007,,246,1,3670,2099,1449,120249,182,,8/14/2018 15:50,Benzin,Manual,Auto,Big,purple
22,MINI,Astra,  2012_year ,2/22/2012,1,199,2,,1793,1365,99974,147,,7/8/2018 13:35,Diesel,Manual,Auto,Big,red
23,Audi,Avensis,  2011_year ,3/23/2011,,197,2,3789,2102,1548,222649,144,,6/27/2018 15:41,Diesel,Manual,Auto,Big,brown
24,Citroen,B-Klasse,  2003_year ,7/23/2003,1,193,2,3555,2289,1712,347720,141,,7/7/2018 15:34,Diesel,Auto_or_Hybrid,Auto,,brown
25,Fiat,C-Klasse,  2001_year ,7/24/2001,,171,1,3607,2364,1406,303212,126,,9/13/2018 12:02,Benzin,Auto_or_Hybrid,Auto,Big,purple
26,Land Rover,C-Max,  2011_year ,10/26/2011,1,186,2,3897,2079,1423,74158,137,,5/12/2018 17:44,Diesel,Manual,Manual,,purple
27,Mazda,C4,  2010_year ,12/16/2010,,119,2,3710,2201,1695,69876,87,,9/14/2018 16:39,Benzin,Manual,Manual,,beige
28,Fiat,C5,  2009_year ,11/9/2009,,141,2,3745,2032,1464,389195,104,,10/23/2018 18:20,Diesel,Auto_or_Hybrid,Auto,Big,red
29,BMW,CR-V,  2004_year ,3/1/2005,,131,1,3530,2113,1485,122801,97,,9/27/2018 14:24,Benzin,Manual,Auto,,brown
30,Mercedes-Benz,Caddy,  2009_year ,6/2/2009,,40,2,3491,2044,1542,109356,30,,7/9/2018 17:58,Diesel,Auto_or_Hybrid,Auto,,purple
31,Land Rover,A5,  2008_year ,4/28/2008,1,263,2,3739,1951,1427,68324,194,,8/16/2018 12:24,Benzin,Auto_or_Hybrid,Auto,Big,brown
32,Audi,Avensis,  2002_year ,9/20/2002,,175,1,3508,2091,1441,126269,129,,7/3/2018 10:23,Benzin,Manual,Auto,,red
33,Land Rover,A5,  2007_year ,7/11/2007,1,167,2,3663,2188,1428,167549,123,,5/23/2018 12:38,Benzin,Manual,Auto,,red
